source_file,original_state,original_district,standardized_state,standardized_district,mapping_reason,confidence
India_Flood_Inventory_v3.csv,,Mangan,,Mangan,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Gyalshing,,Gyalshing,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Namchi,,Namchi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Nainital,,Nainital,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Pithoragarh,,Pithoragarh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,New Delhi,,New Delhi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kohima,,Kohima,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Vellore,,Vellore,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Manali,,Manali,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Viluppuram,,Viluppuram,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Akharpur,,Akharpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Goa,,Goa,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Godda,,Godda,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Deoghar,,Deoghar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dumka,,Dumka,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jamtara,,Jamtara,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Sahebganj,,Sahebganj,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Pakur,,Pakur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bastar,,Bastar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bhubaneshwar,,Bhubaneshwar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dhalai,,Dhalai,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Sepahijala,,Sepahijala,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Gomati,,Gomati,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Khowai,,Khowai,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West Tripura,,West Tripura,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South Tripura,,South Tripura,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Unakoti,,Unakoti,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Palamu,,Palamu,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kargil,,Kargil,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Raigad,,Raigad,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ranchi,,Ranchi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Durg,,Durg,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kamjong,,Kamjong,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Senapati,,Senapati,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tamenglong,,Tamenglong,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kakching,,Kakching,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bishnupur,,Bishnupur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chandel,,Chandel,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Churachandpur,,Churachandpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jiribam,,Jiribam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kangpokpi,,Kangpokpi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Thoubal,,Thoubal,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tengnoupal,,Tengnoupal,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ukhrul,,Ukhrul,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Noney,,Noney,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Pherzawl,,Pherzawl,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ri Bhoi,,Ri Bhoi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West Khasi Hills,,West Khasi Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East East Jaintia Hills,,East East Jaintia Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East Khasi Hills,,East Khasi Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South Garo Hills,,South Garo Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West Garo Hills,,West Garo Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East Garo Hills,,East Garo Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West East Jaintia Hills,,West East Jaintia Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South West Khasi Hills,,South West Khasi Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,North Garo Hills,,North Garo Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South West Garo Hills,,South West Garo Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Thiruvallur,,Thiruvallur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Krishnagiri,,Krishnagiri,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tiruvannamalai,,Tiruvannamalai,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dharmapuri,,Dharmapuri,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Namakkal,,Namakkal,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Perambalur,,Perambalur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ariyalur,,Ariyalur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tiruppur,,Tiruppur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Karur,,Karur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Thiruvarur,,Thiruvarur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dindigul,,Dindigul,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Theni,,Theni,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Virudhunagar,,Virudhunagar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Thoothukkudi,,Thoothukkudi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kanniyakumariumari,,Kanniyakumariumari,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Sivaganga,,Sivaganga,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Nagapattinam,,Nagapattinam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kallakurichi,,Kallakurichi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tenkasi,,Tenkasi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ranipet,,Ranipet,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tirupathur,,Tirupathur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kancheepuram,,Kancheepuram,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kanpur nagar,,Kanpur nagar,REQUIRES_VERIFICATION: spelling/case/punctuation variant retained,REQUIRES_VERIFICATION
India_Flood_Inventory_v3.csv,,Pondicherry,,Pondicherry,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Leh ladakh,,Leh ladakh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Surguja,,Surguja,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Marathwada,,Marathwada,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Karaikal,,Karaikal,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mahe,,Mahe,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Yanam,,Yanam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Sivasagar amd Sonitpur,,Sivasagar amd Sonitpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West Singhbhum,,West Singhbhum,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,29 districts affected,,29 districts affected,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South Assam,,South Assam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South Kashmir,,South Kashmir,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kashmir,,Kashmir,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Rajnandgaon,,Rajnandgaon,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,howrah,,howrah,REQUIRES_VERIFICATION: spelling/case/punctuation variant retained,REQUIRES_VERIFICATION
India_Flood_Inventory_v3.csv,,Purba Medinipur,,Purba Medinipur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Itanagar,,Itanagar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mancachar,,Mancachar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kolasib,,Kolasib,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Aizawl,,Aizawl,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mamit,,Mamit,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Champhai,,Champhai,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Serchhip,,Serchhip,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Lunglei,,Lunglei,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Siaha,,Siaha,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Lawngtlai,,Lawngtlai,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,3 out of 8 districts,,3 out of 8 districts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bijapur Surendranagar,,Bijapur Surendranagar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mon,,Mon,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Longleng,,Longleng,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mokokchung,,Mokokchung,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Tuensang,,Tuensang,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kiphire,,Kiphire,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Peren,,Peren,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Wokha,,Wokha,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Zunheboto,,Zunheboto,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Phek,,Phek,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dimapur,,Dimapur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Haridwar,,Haridwar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Purbi West Singhbhum,,Purbi West Singhbhum,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Pashchimi West Singhbhum,,Pashchimi West Singhbhum,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Sri Muktsar Sahib,,Sri Muktsar Sahib,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jaloree,,Jaloree,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,neighbourhood,,neighbourhood,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Paschim Medinipur,,Paschim Medinipur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kashmir Valley,,Kashmir Valley,REQUIRES_VERIFICATION: spelling/case/punctuation variant retained,REQUIRES_VERIFICATION
India_Flood_Inventory_v3.csv,,Purba Bardhaman,,Purba Bardhaman,REQUIRES_VERIFICATION: spelling/case/punctuation variant retained,REQUIRES_VERIFICATION
India_Flood_Inventory_v3.csv,,Ananthapuramu,,Ananthapuramu,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bageshwar,,Bageshwar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Champawat,,Champawat,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Udam Singh Nagar,,Udam Singh Nagar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many parts of the State,,Many parts of the State,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East Uttar Kashi Pradesh,,East Uttar Kashi Pradesh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Uttar Kashi,,Uttar Kashi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East Jaintia Hills,,East Jaintia Hills,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Rudra Prayag,,Rudra Prayag,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Northern parts,,Northern parts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many parts,,Many parts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dhamtari,,Dhamtari,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jagdalpur,,Jagdalpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Uttar Kashi Bastar Kanker,,Uttar Kashi Bastar Kanker,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jashpur,,Jashpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Uttar Kashia,,Uttar Kashia,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Some parts,,Some parts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,14 districts,,14 districts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,11 districts,,11 districts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Most parts,,Most parts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,6 districts,,6 districts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bagalkotee Belagavi,,Bagalkotee Belagavi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chamarajanagaraa Hassan,,Chamarajanagaraa Hassan,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Southern parts,,Southern parts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ernakulam ant Thiruvananthapuram,,Ernakulam ant Thiruvananthapuram,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Palampur,,Palampur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,adjoining areas,,adjoining areas,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Giridih,,Giridih,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chatra,,Chatra,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Garhwa,,Garhwa,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Dhanbad,,Dhanbad,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Latehar,,Latehar,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bokaro,,Bokaro,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Lohardaga,,Lohardaga,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Gumla,,Gumla,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Khunti,,Khunti,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Saraikela Kharsawan,,Saraikela Kharsawan,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Simdega,,Simdega,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Koderma,,Koderma,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Hazaribagh,,Hazaribagh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Malikkeri,,Malikkeri,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chhatisgarh,,Chhatisgarh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,West Madhya Pradesh,,West Madhya Pradesh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Jawad,,Jawad,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,21 districts of Assam,,21 districts of Assam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bagalkote,,Bagalkote,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many districts of South Bengal,,Many districts of South Bengal,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Most of the districts,,Most of the districts,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Lower Subansiri,,Lower Subansiri,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chamarajanagaraa Davangere,,Chamarajanagaraa Davangere,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Chikodi,,Chikodi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ernakulam Kannur,,Ernakulam Kannur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Bhandara Chandrapur,,Bhandara Chandrapur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many districts of Uttar Kashi Pradesh,,Many districts of Uttar Kashi Pradesh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East & West Purba Purba Medinipur,,East & West Purba Purba Medinipur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,coastal districts of Andhra Pradesh,,coastal districts of Andhra Pradesh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Narayanpur,,Narayanpur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kochi,,Kochi,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kollam Kozhikode,,Kollam Kozhikode,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Orissa,,Parts of Orissa,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Some districts of Punjab,,Some districts of Punjab,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kanpur Nagar,,Kanpur Nagar,REQUIRES_VERIFICATION: spelling/case/punctuation variant retained,REQUIRES_VERIFICATION
India_Flood_Inventory_v3.csv,,Parts of Sikkim,,Parts of Sikkim,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many districts of Tamil Nadu.,,Many districts of Tamil Nadu.,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mangalbari,,Mangalbari,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Kabeerdham,,Kabeerdham,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Janjgir-Champa,,Janjgir-Champa,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Korba,,Korba,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mahasamund,,Mahasamund,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Jammu,,Parts of Jammu,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Heavy rains Hazaribagh,,Heavy rains Hazaribagh,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Karnataka,,Parts of Karnataka,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,BagalkoteeBijapur,,BagalkoteeBijapur,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,19 districts of Orissa,,19 districts of Orissa,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Districts of Cauvery delta zone,,Districts of Cauvery delta zone,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Districts of Cauvery delta,,Districts of Cauvery delta,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Uttar Kashiakhand,,Parts of Uttar Kashiakhand,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,North And Middle Andaman,,North And Middle Andaman,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,East & West Godavari,,East & West Godavari,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Palnadu,,Palnadu,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Ntr,,Ntr,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Most Upper Lower Subansiri,,Most Upper Lower Subansiri,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Pak,,Pak,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,14 districts of Assam,,14 districts of Assam,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,neighborhood,,neighborhood,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Different parts of Jammu,,Different parts of Jammu,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Many parts of Tamil Nadu.,,Many parts of Tamil Nadu.,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Lahul & Spitti,,Parts of Lahul & Spitti,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,South Andamans,,South Andamans,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Mungeli,,Mungeli,unchanged source name,HIGH
India_Flood_Inventory_v3.csv,,Parts of Jharkhand,,Parts of Jharkhand,unchanged source name,HIGH
